,index,lang,textfile,Freq,file,PCComplexity,compressed,folder,LengthScript,Idiosyncratic,Type,Family,Ancestor,Sum_count,Rel_freq,Sum_prob
25088,005E8,heb,ר,19572,2,35.0338260107553,904,Hebr,27,0,abjad,Middle East,Armi,401070,0.04879946144064627,0.9999999999999999
25089,005E9,hbo,ש,63442,6,77.61438835141242,1353,Hebr,27,0,abjad,Middle East,Armi,1250323,0.05074048865773084,1.0000000000000002
25090,005E9,heb,ש,21786,2,77.61438835141242,1353,Hebr,27,0,abjad,Middle East,Armi,401070,0.05431969481636622,0.9999999999999999
25091,005EA,hbo,ת,73849,6,50.5818040093185,1065,Hebr,27,0,abjad,Middle East,Armi,1250323,0.05906393787845221,1.0000000000000002
25092,005EA,heb,ת,20713,2,50.5818040093185,1065,Hebr,27,0,abjad,Middle East,Armi,401070,0.0516443513601117,0.9999999999999999
25093,00621,arb,ء,1480,2,17.8461581546632,997,Arab,39,0,abjad,Middle East,Nbat,416486,0.003553540815297513,1.0
25094,00621,arz,ء,765,1,17.8461581546632,997,Arab,39,0,abjad,Middle East,Nbat,203897,0.00375189433880832,1.0
25095,00621,pes,ء,10,2,17.8461581546632,997,Arab,39,0,abjad,Middle East,Nbat,621885,1.608014343487944e-05,1.0000000000000002
25096,00621,prs,ء,8,2,17.8461581546632,997,Arab,39,0,abjad,Middle East,Nbat,302065,2.6484365947726484e-05,0.9999999999999996
25097,00621,snd,ء,2327,1,17.8461581546632,997,Arab,39,0,abjad,Middle East,Nbat,130933,0.017772448504196802,0.9999999999999998
25098,00621,urd,ء,30,1,17.8461581546632,997,Arab,39,0,abjad,Middle East,Nbat,396451,7.567139444723307e-05,0.9988913832765174
